Transaction Date,Details,Amount,Type
01/15/2024,Starbucks Coffee,-5.75,DEBIT
01/15/2024,Monthly Salary,3500.00,CREDIT
01/16/2024,Uber Ride,-22.50,DEBIT
01/16/2024,Whole Foods Market,-95.32,DEBIT
01/17/2024,Netflix Subscription,-15.99,DEBIT
01/17/2024,Electricity Bill,-87.00,DEBIT
01/18/2024,Amazon Purchase,-67.50,DEBIT
01/19/2024,DoorDash Delivery,-28.75,DEBIT
01/19/2024,CVS Pharmacy,-15.49,DEBIT
01/20/2024,Gym Membership,-49.99,DEBIT
01/21/2024,Trader Joe's,-73.21,DEBIT
01/22/2024,Coffee Shop,-6.50,DEBIT
01/22/2024,Gas Station,-52.00,DEBIT
01/23/2024,Restaurant Dinner,-85.00,DEBIT
01/24/2024,Spotify Premium,-10.99,DEBIT
01/25/2024,Target Store,-124.67,DEBIT
01/26/2024,Uber Eats,-35.50,DEBIT
01/27/2024,Grocery Shopping,-89.43,DEBIT
01/28/2024,Online Shopping,-45.99,DEBIT
01/29/2024,Movie Tickets,-32.00,DEBIT
01/30/2024,Insurance Payment,-150.00,DEBIT
