Date,Description,Debit,Credit,Balance
2024-01-01,WHOLE FOODS MARKET #123,87.32,,4512.68
2024-01-02,STARBUCKS COFFEE,5.75,,4506.93
2024-01-02,UBER TRIP,18.50,,4488.43
2024-01-03,NETFLIX SUBSCRIPTION,15.99,,4472.44
2024-01-03,AMAZON PURCHASE,45.67,,4426.77
2024-01-04,TRADER JOE'S,62.18,,4364.59
2024-01-05,DIRECT DEPOSIT,,2500.00,6864.59
2024-01-05,DOORDASH DELIVERY,32.50,,6832.09
2024-01-06,CVS PHARMACY,23.99,,6808.10
2024-01-06,SHELL GAS STATION,45.00,,6763.10
2024-01-07,SPOTIFY PREMIUM,10.99,,6752.11
2024-01-08,TARGET STORE,78.45,,6673.66
2024-01-08,CHIPOTLE,12.50,,6661.16
2024-01-09,UBER EATS,28.75,,6632.41
2024-01-10,GYM MEMBERSHIP,29.99,,6602.42
2024-01-11,ELECTRIC COMPANY,95.50,,6506.92
2024-01-12,CAFE COFFEE SHOP,6.25,,6500.67
2024-01-12,AMAZON PRIME,14.99,,6485.68
2024-01-13,WHOLE FOODS MARKET,92.14,,6393.54
2024-01-14,UBER TRIP,22.00,,6371.54
2024-01-15,SAFEWAY GROCERY,54.32,,6317.22
2024-01-15,NETFLIX,15.99,,6301.23
2024-01-16,RESTAURANT DINING,67.50,,6233.73
2024-01-17,ATM WITHDRAWAL,100.00,,6133.73
2024-01-18,INTERNET SERVICE,79.99,,6053.74
2024-01-19,STARBUCKS,5.50,,6048.24
2024-01-19,DOORDASH,35.25,,6013.99
2024-01-20,DIRECT DEPOSIT,,2500.00,8513.99
2024-01-21,TARGET,89.99,,8424.00
2024-01-22,UBER,15.75,,8408.25
2024-01-22,PIZZA DELIVERY,28.50,,8379.75
2024-01-23,WHOLE FOODS,71.23,,8308.52
2024-01-24,GAS STATION,48.00,,8260.52
2024-01-25,COFFEE SHOP,7.25,,8253.27
2024-01-26,GROCERY STORE,83.67,,8169.60
2024-01-27,RESTAURANT,45.00,,8124.60
2024-01-28,PHARMACY,19.99,,8104.61
2024-01-29,UBER EATS,31.50,,8073.11
2024-01-30,MONTHLY RENT,1500.00,,6573.11
2024-01-31,NETFLIX,15.99,,6557.12
